index,window3 num=1,window3 num=5,window3 num=10,window3 num=20,window3_balanced num=1,window3_balanced num=5,window3_balanced num=10,window3_balanced num=20,window10 num=1,window10 num=5,window10 num=10,window10 num=20,window10_balanced num=1,window10_balanced num=5,window10_balanced num=10,window10_balanced num=20,window20 num=1,window20 num=5,window20 num=10,window20 num=20,window20_balanced num=1,window20_balanced num=5,window20_balanced num=10,window20_balanced num=20,window100 num=1,window100 num=5,window100 num=10,window100 num=20,window100_balanced num=1,window100_balanced num=5,window100_balanced num=10,window100_balanced num=20,strokes3,strokes3_balanced,strokes10,strokes10_balanced,strokes20,strokes20_balanced,strokes100,strokes100_balanced,strokes_ResNet3,strokes_ResNet3_balanced,strokes_ResNet10,strokes_ResNet10_balanced,strokes_ResNet20,strokes_ResNet20_balanced,strokes_ResNet100,strokes_ResNet100_balanced,strokes_Two3,strokes_Two3_balanced,strokes_Two10,strokes_Two10_balanced,strokes_Two20,strokes_Two20_balanced,strokes_Two100,strokes_Two100_balanced
Hits@1,0.903955,0.932203,0.937853,0.943503,0.858757,0.915254,0.909605,0.937853,0.692683,0.787805,0.8,0.821951,0.682927,0.756098,0.768293,0.768293,0.658842,0.752739,0.773083,0.779343,0.568075,0.674491,0.680751,0.683881,0.438584,0.554913,0.590318,0.588873,0.360549,0.486272,0.490607,0.510116,0.9375,0.9375,0.641791,0.699005,0.546751,0.518225,0.527941,0.581618,0.98125,0.975,0.965174,0.91791,0.873217,0.858954,0.719118,0.747794,0.99375,1.0,0.972637,0.970149,0.912837,0.862124,0.784559,0.741176
Hits@2,0.983051,0.99435,0.988701,0.99435,0.966102,0.988701,0.988701,0.988701,0.84878,0.887805,0.897561,0.897561,0.84878,0.892683,0.880488,0.885366,0.807512,0.85759,0.865415,0.890454,0.732394,0.809077,0.818466,0.826291,0.58237,0.676301,0.697977,0.709538,0.49422,0.594653,0.635838,0.643064,0.975,0.98125,0.810945,0.853234,0.763867,0.729002,0.661029,0.714706,1.0,1.0,0.987562,0.965174,0.936609,0.931854,0.809559,0.840441,1.0,1.0,0.99005,0.987562,0.96038,0.939778,0.874265,0.851471
Hits@3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.909756,0.934146,0.939024,0.934146,0.919512,0.921951,0.921951,0.926829,0.856025,0.904538,0.912363,0.923318,0.801252,0.868545,0.871674,0.882629,0.665462,0.739162,0.756503,0.771676,0.572977,0.67341,0.698699,0.70448,1.0,1.0,0.890547,0.900498,0.828843,0.81458,0.741912,0.775,1.0,1.0,0.99005,0.975124,0.955626,0.96355,0.848529,0.869118,1.0,1.0,0.99005,0.99005,0.973059,0.966719,0.917647,0.888971
Hits@4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.941463,0.963415,0.956098,0.958537,0.943902,0.946341,0.946341,0.95122,0.910798,0.931142,0.935837,0.943662,0.86385,0.899844,0.907668,0.910798,0.708815,0.784682,0.800578,0.818642,0.625,0.726879,0.74711,0.745665,1.0,1.0,0.940299,0.940299,0.881141,0.857369,0.797059,0.813971,1.0,1.0,0.995025,0.99005,0.973059,0.969889,0.880147,0.8875,1.0,1.0,0.997512,0.997512,0.985737,0.979398,0.942647,0.913235
Hits@5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.973171,0.980488,0.968293,0.973171,0.958537,0.970732,0.963415,0.963415,0.932707,0.956182,0.962441,0.957746,0.895149,0.931142,0.932707,0.926448,0.74422,0.823699,0.831647,0.851879,0.66474,0.763006,0.778179,0.781069,1.0,1.0,0.967662,0.965174,0.922345,0.904913,0.836029,0.849265,1.0,1.0,0.997512,0.992537,0.985737,0.977813,0.901471,0.907353,1.0,1.0,0.997512,0.997512,0.987322,0.982567,0.959559,0.929412
Macro-F1@1,0.9022,0.932896,0.939637,0.945861,0.858463,0.915113,0.911309,0.939006,0.67672,0.780993,0.791305,0.813243,0.67934,0.744139,0.765292,0.763496,0.630431,0.734598,0.751956,0.762927,0.553079,0.658218,0.657924,0.662312,0.325726,0.405828,0.458451,0.46135,0.326298,0.430099,0.437663,0.455723,0.930957,0.931406,0.56966,0.680334,0.476884,0.500347,0.393358,0.579281,0.981658,0.979121,0.964411,0.915478,0.868062,0.857831,0.663826,0.765763,0.994789,1.0,0.971659,0.970449,0.896416,0.861888,0.725579,0.750231
Macro-F1@2,0.981635,0.994022,0.988849,0.994827,0.964522,0.987883,0.989658,0.988846,0.844311,0.884468,0.894029,0.89261,0.848054,0.885223,0.879979,0.881598,0.796354,0.851444,0.859874,0.882127,0.720584,0.803531,0.803423,0.814752,0.484424,0.558674,0.59835,0.617788,0.458718,0.558017,0.602848,0.599329,0.971435,0.981862,0.782449,0.842578,0.733011,0.721669,0.569832,0.710795,1.0,1.0,0.988716,0.964742,0.936041,0.933662,0.775072,0.854355,1.0,1.0,0.990035,0.988559,0.953554,0.938383,0.844382,0.856275
Macro-F1@3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.908559,0.934433,0.939437,0.932229,0.915012,0.918113,0.923744,0.925394,0.852258,0.90029,0.907363,0.920226,0.795247,0.861088,0.869515,0.877916,0.590871,0.64845,0.675359,0.700794,0.538525,0.6437,0.676975,0.677649,1.0,1.0,0.887126,0.898557,0.797033,0.811997,0.675901,0.772559,1.0,1.0,0.991386,0.973959,0.953647,0.967021,0.823263,0.882585,1.0,1.0,0.990035,0.990363,0.970112,0.965718,0.902586,0.890252
Macro-F1@4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94275,0.963481,0.95608,0.958398,0.938885,0.944913,0.945748,0.950195,0.908865,0.930786,0.93423,0.942951,0.862768,0.899154,0.909107,0.909674,0.64162,0.714676,0.732621,0.760046,0.592988,0.704838,0.730112,0.723007,1.0,1.0,0.944169,0.940691,0.863766,0.859034,0.744197,0.808334,1.0,1.0,0.994514,0.990924,0.972422,0.972811,0.860944,0.898923,1.0,1.0,0.997482,0.997649,0.985332,0.977731,0.934254,0.911539
Macro-F1@5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.973712,0.979672,0.967376,0.972632,0.954438,0.971839,0.962785,0.963215,0.931887,0.959028,0.96132,0.954494,0.895159,0.932804,0.937074,0.92778,0.691183,0.768435,0.782266,0.806977,0.634405,0.744261,0.763716,0.764821,1.0,1.0,0.972732,0.965726,0.906694,0.904879,0.793092,0.84364,1.0,1.0,0.997252,0.993238,0.985872,0.981401,0.884681,0.916998,1.0,1.0,0.997482,0.997649,0.987605,0.980541,0.9527,0.928525
