index,window3 num=1,window3 num=5,window3 num=10,window3 num=20,window3_balanced num=1,window3_balanced num=5,window3_balanced num=10,window3_balanced num=20,window10 num=1,window10 num=5,window10 num=10,window10 num=20,window10_balanced num=1,window10_balanced num=5,window10_balanced num=10,window10_balanced num=20,window20 num=1,window20 num=5,window20 num=10,window20 num=20,window20_balanced num=1,window20_balanced num=5,window20_balanced num=10,window20_balanced num=20,window100 num=1,window100 num=5,window100 num=10,window100 num=20,window100_balanced num=1,window100_balanced num=5,window100_balanced num=10,window100_balanced num=20,strokes3,strokes3_balanced,strokes10,strokes10_balanced,strokes20,strokes20_balanced,strokes100,strokes100_balanced,strokes_ResNet3,strokes_ResNet3_balanced,strokes_ResNet10,strokes_ResNet10_balanced,strokes_ResNet20,strokes_ResNet20_balanced,strokes_ResNet100,strokes_ResNet100_balanced,strokes_Two3,strokes_Two3_balanced,strokes_Two10,strokes_Two10_balanced,strokes_Two20,strokes_Two20_balanced,strokes_Two100,strokes_Two100_balanced
Hits@1,0.920904,0.937853,0.932203,0.949153,0.920904,0.920904,0.943503,0.920904,0.707317,0.787805,0.785366,0.817073,0.685366,0.74878,0.773171,0.763415,0.641628,0.762128,0.773083,0.773083,0.56964,0.668232,0.685446,0.696401,0.441474,0.554913,0.565029,0.58815,0.364162,0.478324,0.499277,0.509393,0.9375,0.9375,0.656716,0.69403,0.551506,0.515055,0.526471,0.582353,0.9875,0.975,0.967662,0.915423,0.874802,0.862124,0.745588,0.714706,1.0,1.0,0.972637,0.967662,0.909667,0.860539,0.782353,0.747059
Hits@2,0.983051,0.99435,0.99435,0.99435,0.988701,1.0,1.0,0.99435,0.846341,0.890244,0.882927,0.914634,0.843902,0.865854,0.890244,0.892683,0.818466,0.85759,0.887324,0.888889,0.732394,0.809077,0.809077,0.818466,0.571532,0.668353,0.687139,0.692197,0.492775,0.611994,0.634393,0.632225,0.975,0.975,0.813433,0.850746,0.760697,0.727417,0.657353,0.711765,1.0,0.99375,0.99005,0.962687,0.933439,0.942948,0.829412,0.817647,1.0,1.0,0.99005,0.985075,0.957211,0.941363,0.876471,0.853676
Hits@3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.907317,0.929268,0.934146,0.946341,0.904878,0.929268,0.919512,0.936585,0.868545,0.901408,0.926448,0.929577,0.816901,0.859155,0.868545,0.884194,0.645231,0.739884,0.764451,0.757948,0.57948,0.671965,0.695087,0.703757,1.0,1.0,0.88806,0.90796,0.832013,0.81458,0.741176,0.770588,1.0,1.0,0.99005,0.977612,0.949287,0.965135,0.878676,0.855147,1.0,1.0,0.99005,0.99005,0.971474,0.96355,0.920588,0.892647
Hits@4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.936585,0.953659,0.960976,0.968293,0.939024,0.946341,0.943902,0.95122,0.906103,0.938967,0.956182,0.954617,0.86385,0.907668,0.902973,0.910798,0.700867,0.789017,0.814306,0.807803,0.63078,0.712428,0.745665,0.748555,1.0,1.0,0.935323,0.942786,0.879556,0.858954,0.796324,0.811765,1.0,1.0,0.997512,0.987562,0.968304,0.974643,0.903676,0.878676,1.0,1.0,0.997512,0.995025,0.980983,0.982567,0.943382,0.916176
Hits@5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.960976,0.968293,0.97561,0.980488,0.968293,0.956098,0.968293,0.970732,0.929577,0.960876,0.965571,0.968701,0.898279,0.926448,0.931142,0.934272,0.742775,0.815029,0.838873,0.842486,0.674855,0.75,0.773844,0.779624,1.0,1.0,0.965174,0.960199,0.919176,0.904913,0.834559,0.847059,1.0,1.0,0.997512,0.992537,0.982567,0.982567,0.916912,0.900735,1.0,1.0,0.997512,0.997512,0.987322,0.988906,0.964706,0.929412
Macro-F1@1,0.920332,0.938456,0.93379,0.950973,0.92166,0.921704,0.946893,0.921988,0.685586,0.77657,0.776755,0.809143,0.685639,0.740814,0.765646,0.756748,0.619809,0.736292,0.759757,0.756566,0.549563,0.633057,0.658412,0.670515,0.32081,0.423884,0.428641,0.462378,0.314636,0.425138,0.445726,0.460861,0.930957,0.931406,0.585214,0.676497,0.484412,0.49652,0.395373,0.579044,0.986873,0.979121,0.966616,0.912305,0.8673,0.859683,0.69592,0.738965,1.0,1.0,0.971659,0.968102,0.894303,0.861402,0.727389,0.755913
Macro-F1@2,0.981474,0.994022,0.994821,0.994821,0.988879,1.0,1.0,0.994827,0.838775,0.888283,0.877717,0.913481,0.833078,0.860156,0.883116,0.885649,0.811211,0.847546,0.878604,0.884459,0.716329,0.789604,0.79013,0.804569,0.464298,0.556642,0.584017,0.593852,0.444539,0.573297,0.585763,0.586433,0.971435,0.974135,0.786494,0.843456,0.724164,0.721696,0.563847,0.707853,1.0,0.994789,0.991386,0.963399,0.930599,0.945354,0.795269,0.836056,1.0,1.0,0.990035,0.986231,0.949865,0.940819,0.849158,0.85834
Macro-F1@3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.906698,0.93075,0.935149,0.948197,0.898195,0.9269,0.917174,0.937909,0.862186,0.897053,0.924957,0.92695,0.804909,0.849548,0.858393,0.879916,0.55187,0.65744,0.685711,0.680569,0.536293,0.638585,0.664796,0.671333,1.0,1.0,0.883618,0.907585,0.800832,0.811969,0.674158,0.765293,1.0,1.0,0.991386,0.977485,0.9452,0.967615,0.853136,0.870967,1.0,1.0,0.990035,0.990471,0.968268,0.963555,0.901838,0.893462
Macro-F1@4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.935216,0.953528,0.96178,0.969205,0.936819,0.945167,0.943686,0.953761,0.901321,0.935842,0.95776,0.953719,0.854458,0.903124,0.902862,0.909021,0.620032,0.722602,0.75191,0.74515,0.591779,0.686713,0.721294,0.724234,1.0,1.0,0.938046,0.945748,0.860714,0.861481,0.743084,0.804077,1.0,1.0,0.997252,0.987336,0.965823,0.975552,0.886011,0.893268,1.0,1.0,0.997482,0.995197,0.980054,0.980749,0.934742,0.915595
Macro-F1@5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.961108,0.970091,0.977314,0.981378,0.966812,0.956558,0.968936,0.973125,0.928,0.957506,0.966728,0.968008,0.89042,0.923643,0.932018,0.936006,0.676844,0.762629,0.786565,0.795517,0.644811,0.728786,0.753947,0.766198,1.0,1.0,0.968368,0.961903,0.903804,0.904384,0.79328,0.839613,1.0,1.0,0.997252,0.993286,0.981106,0.982834,0.901249,0.911094,1.0,1.0,0.997482,0.997649,0.987605,0.989081,0.961001,0.928008
Macro-Precision@1,0.920274,0.938826,0.934898,0.954681,0.924216,0.92108,0.949509,0.921809,0.697229,0.793162,0.793035,0.823268,0.732812,0.79855,0.813539,0.807429,0.651416,0.776652,0.805079,0.797657,0.583383,0.654909,0.736527,0.750536,0.35732,0.524622,0.536629,0.582192,0.363199,0.488925,0.526801,0.53639,0.92567,0.923988,0.705936,0.737846,0.647362,0.582939,0.51765,0.668405,0.989583,0.979739,0.967033,0.922635,0.899209,0.866915,0.788663,0.795142,1.0,1.0,0.971562,0.966009,0.909809,0.867252,0.844824,0.790514
Macro-Precision@2,0.982326,0.995098,0.995098,0.995098,0.990338,1.0,1.0,0.994709,0.844936,0.892991,0.882604,0.914906,0.850459,0.878489,0.89208,0.89686,0.828627,0.866074,0.896823,0.901424,0.737598,0.816089,0.824435,0.837365,0.531693,0.67755,0.706141,0.702746,0.498781,0.632799,0.644335,0.653421,0.969283,0.969799,0.864324,0.862513,0.827431,0.762707,0.732021,0.756139,1.0,0.994709,0.990313,0.963918,0.942028,0.945931,0.893422,0.853844,1.0,1.0,0.988904,0.984322,0.954941,0.940363,0.921968,0.867026
Macro-Precision@3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.906336,0.934313,0.937452,0.947102,0.907878,0.930639,0.917763,0.939212,0.878143,0.910791,0.935879,0.935579,0.814376,0.863461,0.876268,0.895864,0.630268,0.773494,0.801204,0.808083,0.583689,0.692553,0.727608,0.728133,1.0,1.0,0.910561,0.910346,0.872109,0.830389,0.82113,0.797008,1.0,1.0,0.990313,0.9767,0.955846,0.967181,0.928569,0.876776,1.0,1.0,0.988904,0.987689,0.972415,0.960763,0.950564,0.896894
Macro-Precision@4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.933827,0.955238,0.96331,0.970674,0.940087,0.947116,0.941587,0.953999,0.914328,0.946091,0.96573,0.958744,0.857536,0.908554,0.908817,0.9203,0.705284,0.821675,0.85272,0.852067,0.636569,0.744325,0.771781,0.763259,1.0,1.0,0.949272,0.941699,0.90354,0.870085,0.861475,0.823222,1.0,1.0,0.996667,0.987027,0.971352,0.97486,0.943952,0.895606,1.0,1.0,0.996552,0.993649,0.981783,0.97953,0.965016,0.914986
Macro-Precision@5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.957997,0.971107,0.978913,0.983174,0.966238,0.957164,0.967338,0.971691,0.935293,0.965602,0.973919,0.972837,0.892873,0.926942,0.936238,0.93964,0.750733,0.848225,0.869057,0.883984,0.695967,0.770286,0.790935,0.796082,1.0,1.0,0.972054,0.958037,0.933723,0.905229,0.904888,0.84949,1.0,1.0,0.996667,0.992033,0.983202,0.98037,0.949831,0.911552,1.0,1.0,0.996552,0.996875,0.987819,0.987917,0.97857,0.924926
Macro-Recall@1,0.920465,0.938162,0.932786,0.948112,0.920064,0.922434,0.944705,0.922434,0.685379,0.77026,0.771415,0.804552,0.685279,0.746081,0.77511,0.764417,0.630302,0.746222,0.764295,0.764317,0.573748,0.670193,0.690442,0.70205,0.341176,0.439055,0.441499,0.472711,0.372141,0.480947,0.495531,0.514497,0.937785,0.9425,0.613514,0.699971,0.499655,0.532479,0.401609,0.644542,0.984533,0.97882,0.967134,0.915966,0.858294,0.862166,0.687113,0.785246,1.0,1.0,0.972457,0.971714,0.889333,0.8683,0.711929,0.802015
