Имя,Число изображений,Количество вариантов имён,Варианты имён
Агафонов Николай Яковлевич,1,1,Агафонов
Адлер Б.,1,1,Адлер
Адрианов Александр Васильевич,23,1,Адрианов
Адрианова Нина Александровна,1,1,Адрианова
Азанчевский-Азанчеев Всеволод Николаевич,1,1,Азанчевский
Акерблом Сергей Иванович,3,1,Акерблом
Акпаев Жакып,1,1,Акпаев
Александров П.,1,1,Александров
Алексеевский Владимир Петрович,1,1,Алексеевский
Альджанов (Альжанов) Отыншы (Отунчи),2,1,Альджанов
Андреев В.,1,1,Андреев
Андреев В. & Николаев Н.,1,1,Андреев и Николаев
Андреев Н.,2,2,"Андреев Н, Андреев"
Андреева Анна,1,1,Андреева
Андреева Е.П.,2,1,Андреева
Анненский Николай Федорович,2,1,Анненский
Анохин Андрей Викторович,7,1,Анохин
Антонова Валентина Константиновна,31,1,Антонова
Антонова Е.,2,1,Антонова Е
Антонова Л.,1,1,Антонова Л
Анучин Василий Иванович,6,1,Анучин В
Анучин Дмитрий Николаевич,22,1,Анучин Д
Анучин Сергей Иванович,1,1,Анучин С
Аринкина Е.,2,1,Аринкина
Ариян Прасковья Наумовна,1,1,Ариян
Арканов Семен,1,1,Арканов
Арсеньев Владимир Клавдиевич,1,1,Арсеньев
Ассанов Николай Иванович,2,1,Ассанов
Афанасьев Михаил Алексеевич,1,1,Афанасьев
Бабанина Елена,3,1,Бабанина
Багашев Иван Васильевич,7,2,"Богашев, Багашев"
Багашева Екатерина Семеновна,1,1,Багашева
Бадмехов Хоммани & Анчуковские & Клеменцы & Ошурковы & Прейн Яков Пвлович & Обручев Владимир Афанасьевич & Подгорбунский & Першин Петр Иванович & Лаврентьев О. & Брызгалов & Симонович & Яковлев,1,1,"Клеменцы, Ошурковы"
Базанова Лидия Павловна,10,1,Базанова
Базанова Лидия Павловна & Гарин И.,1,1,Базанова Гарин
Базанова Ю. & Баснин Николай Васильевич,1,1,Базанова и Баснин
Базаров Иван,3,1,Базаров
Базилевская Александра Ивановна,3,1,Базилевская
Баитов Григорий Борисович,1,1,Баитов
Байбородин Н.Т.,1,1,Байбородин
Балакшин Александр Николаевич,4,1,Балакшин
Балакшин Александр Николаевич & Балакшина,1,1,Балакшины
Баландина Вера Арсеньевна,7,1,Баландина
Балобанова Екатерина Вячеславовна,1,1,Балобикова
Банзаров Дорджи (Банзарай Доржо),3,1,Банзаров
Барановская Е.,2,1,Барановская
Баранцевич Казимир Станиславович,1,1,Баранцевич
Бартенев Виктор Викторович,3,1,Бартенев
Бартольд Василий Владимирович,1,1,Бартольд
Бартрам Николай Дмитриевич,1,1,Бартрам
Баснин Николай Васильевич,1,1,Баснин
Баталин Александр Федорович,6,1,Баталин
Баторов Петр Павлович,2,1,Баторов
Бая Де Барон,1,1,Де Бая
Безрукова Александра Г.,1,1,Безрукова
Бейлин Михаил Рафаилович,3,2,"Бейлин, Бейлин М"
Бейлин Соломон Хаимович,10,2,"Бейлин, Бейлин С"
Белоголовая Надежда Александровна,6,2,"Белоголовая Н, Белоголовая"
Белоголовый Андрей Андреевич,3,1,Белоголовый А
Белоголовый Юрий Андреевич,2,1,Белоголовый Ю
Белозерова Анимаса А.,2,1,Белозерова
Белозерова Анимаса А. & Клеменц Елизавета Николаевна & Педашенко Агния,1,1,"Белозерова, Клеменц, Педашенко"
Белослюдов Алексей Николаевич,1,1,Белослюдов
Бельденинов Иннокентий Иванович,1,1,Бельденинов
Березин Николай Ильич,1,1,Березин
Березовский Михаил Михайлович,2,1,Березовский
Беренштам Вильям Людвигович,3,1,Беренштам
Бессонова М.,1,1,Бессонова
Библиотека Императорского вольного экономического общества,2,1,Библиотека
Библиотека Томского технологического института,1,1,Библиотека ТТИ
Бийский отдел Общества изучения Сибири,1,1,Бийский отдел ОИС
Биль,1,1,Биль
Блавачинская А.Л.,1,1,Блавачинская
Блохина М.,2,1,Блохина
Богатырева П.,2,1,Богатырева
Богданов Владимир Владимирович,5,1,Богданов
Боголепов Михаил Иванович,1,1,Боголепов
Боголюбская Александра Семеновна,4,1,Боголюбская
