Имя,С единственным автором,В соавторстве,Количество вариантов имён (single),Количество вариантов имён (multiple),Варианты имён (single),Картинки (single),Варианты имён (multiple),Картинки (multiple)
Агафонов Николай Яковлевич,1,0,1,0,Агафонов,7928:98,-,-
Адлер Б.,1,0,1,0,Адлер,7928:1559,-,-
Адрианов Александр Васильевич,23,0,1,0,Адрианов,"7928:44, 7928:45, 7928:46, 7928:47, 7928:48, 7928:49, 7928:50, 7928:51, 7928:52, 7928:53, 7928:54, 7928:55, 7928:56, 7928:1562, 7928:1563, 7928:1564, 7928:1565, 7928:1566, 7928:1567, 7928:1568, 7928:1569, 7928:1570, 7928:1571",-,-
Адрианова Нина Александровна,1,0,1,0,Адрианова,7928:57,-,-
Азанчевский-Азанчеев Всеволод Николаевич,1,0,1,0,Азанчевский,7928:2374,-,-
Акерблом Сергей Иванович,3,0,1,0,Акерблом,"7928:64, 7928:65, 7928:66",-,-
Акпаев Жакып,1,0,1,0,Акпаев,7928:1494,-,-
Александров П.,1,0,1,0,Александров,7928:89,-,-
Алексеев Николай,0,1,0,1,-,-,Молодая Сибирь,7928:2377
Алексеев Петр Семенович,0,2,0,2,-,-,"Лаптев, Коншин и др",7928:1514
-,-,-,-,-,-,-,"Лаптев, Коншин",7928:1536
Алексеевский Владимир Петрович,1,0,1,0,Алексеевский,7928:1419,-,-
Альджанов (Альжанов) Отыншы (Отунчи),2,0,1,0,Альджанов,"7928:96, 7928:97",-,-
Анда О.,0,1,0,1,-,-,"Достоевский, Козлов и др",7928:2838
Андреев В.,1,1,1,1,Андреев,7928:2352,Андреев и Николаев,7928:2351
Андреев Н.,2,0,2,0,Андреев Н,7928:1408,-,-
-,-,-,-,-,Андреев,7928:1409,-,-
Андреева Анна,1,0,1,0,Андреева,7928:2438,-,-
Андреева Е.П.,2,0,1,0,Андреева,"7928:1560, 7928:1561",-,-
Анненский Николай Федорович,2,3,1,1,Анненский,"7928:90, 7928:91",Литературный фонд,"7928:2475, 7928:2476, 7928:2477"
Анохин Андрей Викторович,7,0,1,0,Анохин,"7928:58, 7928:59, 7928:60, 7928:61, 7928:62, 7928:63, 7928:1576",-,-
Антонова Валентина Константиновна,31,0,1,0,Антонова,"7928:67, 7928:68, 7928:69, 7928:70, 7928:71, 7928:72, 7928:73, 7928:74, 7928:75, 7928:76, 7928:77, 7928:78, 7928:79, 7928:80, 7928:81, 7928:82, 7928:83, 7928:84, 7928:1572, 7928:2659, 7928:2660, 7928:2661, 7928:2662, 7928:2663, 7928:2664, 7928:2665, 7928:2666, 7928:2667, 7928:2668, 7928:2669, 7928:2670",-,-
Антонова Е.,2,0,1,0,Антонова Е,"7928:85, 7928:86",-,-
Антонова Л.,1,0,1,0,Антонова Л,7928:87,-,-
Анучин Василий Иванович,6,0,1,0,Анучин В,"7928:19, 7928:20, 7928:21, 7928:1573, 7928:1574, 7928:1575",-,-
